i,t,m,age,sex,HH_size
94501,2017,USA,41,Female,5
94502,2017,USA,15,Female,2
94503,2017,USA,52,Female,2
94504,2017,USA,28,Male,4
94505,2017,USA,7,Male,4
94506,2017,USA,69,Female,6
94507,2017,USA,34,Male,5
94508,2017,USA,34,Female,5
94509,2017,USA,53,Female,1
94510,2017,USA,49,Female,4
94511,2017,USA,7,Male,2
94512,2017,USA,43,Female,5
94513,2017,USA,2,Male,3
94514,2017,USA,8,Female,5
94515,2017,USA,58,Female,2
94516,2017,USA,19,Female,1
94517,2017,USA,19,Male,3
94518,2017,USA,5.40E-79,Female,7
94519,2017,USA,59,Male,3
94520,2017,USA,7,Male,4
94521,2017,USA,5.40E-79,Male,4
94522,2017,USA,60,Male,2
94523,2017,USA,65,Female,2
94524,2017,USA,11,Male,5
94525,2017,USA,66,Female,2
94526,2017,USA,37,Male,5
94527,2017,USA,36,Male,5
94528,2017,USA,34,Male,7
94529,2017,USA,58,Male,3
94530,2017,USA,22,Male,5
94531,2017,USA,34,Female,4
94532,2017,USA,36,Female,6
94533,2017,USA,17,Female,3
94534,2017,USA,80,Male,2
94535,2017,USA,80,Male,1
94536,2017,USA,13,Male,4
94537,2017,USA,11,Male,4
94538,2017,USA,42,Male,3
94539,2017,USA,55,Female,3
94540,2017,USA,10,Female,2
94541,2017,USA,79,Female,2
94542,2017,USA,30,Male,5
94543,2017,USA,12,Female,2
94544,2017,USA,17,Female,3
94545,2017,USA,18,Male,3
94546,2017,USA,19,Female,2
94547,2017,USA,67,Female,5
94548,2017,USA,4,Male,6
94549,2017,USA,80,Male,2
94550,2017,USA,17,Female,5
94551,2017,USA,2,Male,6
94552,2017,USA,56,Female,2
94553,2017,USA,72,Female,2
94554,2017,USA,69,Male,4
94555,2017,USA,19,Male,6
94556,2017,USA,7,Male,7
94557,2017,USA,35,Female,3
94558,2017,USA,62,Female,1
94559,2017,USA,41,Male,3
